id,zh_cn,vi_vn,char_len,utf8_len,occurrences
JAVA_ZH_0305,魔法+ ,MP +,4,8,m.java:67
JAVA_ZH_0306,降低50%的速度，持续3秒,"Giảm 50% tốc độ, duy trì 3 giây",13,31,m.java:243
JAVA_ZH_0307,降低50%的速度，持续6秒,"Giảm 50% tốc độ, duy trì 6 giây",13,31,m.java:244
JAVA_ZH_0308,降低50%的速度，持续9秒,"Giảm 50% tốc độ, duy trì 9 giây",13,31,m.java:245
JAVA_ZH_0309,降低50%的速度，持续14秒,"Giảm 50% tốc độ, duy trì 14 giây",14,32,m.java:246
JAVA_ZH_0310,使主角眩晕2秒,Làm choáng nhân vật trong 2 giây,7,19,m.java:247
JAVA_ZH_0311,使主角眩晕3秒,Làm choáng nhân vật trong 3 giây,7,19,m.java:248
JAVA_ZH_0312,使主角眩晕5秒,Làm choáng nhân vật trong 5 giây,7,19,m.java:249
JAVA_ZH_0313,使主角眩晕8秒,Làm choáng nhân vật trong 8 giây,7,19,m.java:250
JAVA_ZH_0314,使主角每秒中毒2点血，持续15秒,"Trúng độc mất 2 HP/giây, duy trì 15 giây",16,42,m.java:251
JAVA_ZH_0315,使主角每秒中毒5点血，持续30秒,"Trúng độc mất 5 HP/giây, duy trì 30 giây",16,42,m.java:252
JAVA_ZH_0316,使主角每秒中毒10点血，持续50秒,"Trúng độc mất 10 HP/giây, duy trì 50 giây",17,43,m.java:253
JAVA_ZH_0317,使主角每秒中毒15点血，持续80秒,"Trúng độc mất 15 HP/giây, duy trì 80 giây",17,43,m.java:254
JAVA_ZH_0318,原效果减2点时间,Giảm 2 giây thời gian hiệu ứng,8,22,m.java:255; m.java:260
JAVA_ZH_0319,原效果减4点时间,Giảm 4 giây thời gian hiệu ứng,8,22,m.java:256
JAVA_ZH_0320,原效果减6点时间,Giảm 6 giây thời gian hiệu ứng,8,22,m.java:257; m.java:262
JAVA_ZH_0321,原效果减11点时间,Giảm 11 giây thời gian hiệu ứng,9,23,m.java:258
JAVA_ZH_0322,原效果减1点时间,Giảm 1 giây thời gian hiệu ứng,8,22,m.java:259
JAVA_ZH_0323,原效果减3点时间,Giảm 3 giây thời gian hiệu ứng,8,22,m.java:261
JAVA_ZH_0324,原效果减1点伤害，6点时间,"Giảm 1 sát thương, giảm 6 giây hiệu ứng",13,35,m.java:263
JAVA_ZH_0325,原效果减3点伤害，15点时间,"Giảm 3 sát thương, giảm 15 giây hiệu ứng",14,36,m.java:264
JAVA_ZH_0326,原效果减6点伤害，30点时间,"Giảm 6 sát thương, giảm 30 giây hiệu ứng",14,36,m.java:265
JAVA_ZH_0327,原效果减10点伤害，60点时间,"Giảm 10 sát thương, giảm 60 giây hiệu ứng",15,37,m.java:266
JAVA_ZH_0328,(金),(Kim),3,5,o.java:732
JAVA_ZH_0329,(木),(Mộc),3,5,o.java:732
JAVA_ZH_0330,(水),(Thủy),3,5,o.java:732
JAVA_ZH_0331,(火),(Hỏa),3,5,o.java:732
JAVA_ZH_0332,(土),(Thổ),3,5,o.java:732
JAVA_ZH_0333,只需4元，即可激活正版（您需要发送2条短信完成支付，信息费2元/条，不含通信费）,"Chỉ với 4 tệ, mở khóa bản quyền (Gửi 2 tin nhắn SMS để hoàn tất, phí 2 tệ/tin, không phí mạng)",40,112,q.java:85
JAVA_ZH_0334,钱不够花，仅需2元，就可立即获得1000金币。,"Thiếu tiền? Chỉ với 2 tệ, nhận ngay 1000 vàng.",23,59,q.java:86
JAVA_ZH_0335,打怪升级太慢，仅需2元，就可开启双倍经验。,"Luyện cấp chậm? Chỉ với 2 tệ, bật ngay x2 kinh nghiệm.",21,61,q.java:87
JAVA_ZH_0336,想原地复活，并且满血满魔吗？仅需1元就可以实现你的愿望。,"Muốn hồi sinh tại chỗ, đầy máu và ma lực? Chỉ với 1 tệ ước nguyện sẽ thành hiện thực.",28,82,q.java:88
JAVA_ZH_0337,勇者剑,Kiếm Dũng Sĩ,3,9,t.java:8
JAVA_ZH_0338,真银剑,Kiếm Bạc Thật,3,9,t.java:9
JAVA_ZH_0339,霸王剑,Kiếm Bá Vương,3,9,t.java:10
JAVA_ZH_0340,镀金剑,Kiếm Mạ Vàng,3,9,t.java:11
JAVA_ZH_0341,降龙剑,Kiếm Hàng Long,3,9,t.java:12
JAVA_ZH_0342,闪电剑,Kiếm Chớp Giật,3,9,t.java:13
JAVA_ZH_0343,氪金圣剑,Thánh Kiếm Khắc Kim,4,12,t.java:14
JAVA_ZH_0344,冒险服,Áo Phiêu Lưu,3,9,t.java:15
JAVA_ZH_0345,勇士军服,Quân Phục Dũng Sĩ,4,12,t.java:16
JAVA_ZH_0346,军官铠甲,Giáp Sĩ Quan,4,12,t.java:17
JAVA_ZH_0347,紫金铠甲,Giáp Tử Kim,4,12,t.java:18
JAVA_ZH_0348,板金铠甲,Giáp Kim Loại,4,12,t.java:19
JAVA_ZH_0349,钢玉铠甲,Giáp Cương Ngọc,4,12,t.java:20
JAVA_ZH_0350,生命指环,Nhẫn Sinh Mệnh,4,12,t.java:21
JAVA_ZH_0351,暴击戒指,Nhẫn Chí Mạng,4,12,t.java:22
JAVA_ZH_0352,龙牙镯,Vòng Tay Long Nha,3,9,t.java:23
JAVA_ZH_0353,紫光链,Dây Chuyền Tử Quang,3,9,t.java:24
JAVA_ZH_0354,护心锁,Khóa Hộ Tâm,3,9,t.java:25
JAVA_ZH_0355,彩虹之心,Trái Tim Cầu Vồng,4,12,t.java:26
JAVA_ZH_0356,试练勇者,Dũng Sĩ Tập Sự,4,12,t.java:27
JAVA_ZH_0357,正式勇者,Dũng Sĩ Chính Thức,4,12,t.java:28
JAVA_ZH_0358,铁杆勇者,Dũng Sĩ Kiên Định,4,12,t.java:29
JAVA_ZH_0359,疯狂勇者,Dũng Sĩ Cuồng Nhiệt,4,12,t.java:30
JAVA_ZH_0360,变态勇者,Dũng Sĩ Tối Thượng,4,12,t.java:31
JAVA_ZH_0361,连击达人,Chuyên Gia Liên Kích,4,12,t.java:32
JAVA_ZH_0362,连击狂人,Vua Liên Kích,4,12,t.java:33
JAVA_ZH_0363,全能骑士,Kỵ Sĩ Toàn Năng,4,12,t.java:34
JAVA_ZH_0364,防御达人,Chuyên Gia Phòng Thủ,4,12,t.java:35
JAVA_ZH_0365,博学者,Học Giả,3,9,t.java:36
JAVA_ZH_0366,探索者,Nhà Thám Hiểm,3,9,t.java:37
JAVA_ZH_0367,杀戮者,Kẻ Săn Mồi,3,9,t.java:38
JAVA_ZH_0368,可爱的,Đáng Yêu,3,9,t.java:39
JAVA_ZH_0369,大富翁,Đại Phú Ông,3,9,t.java:40
JAVA_ZH_0370,冰冻之王,Vua Băng Giá,4,12,t.java:41
JAVA_ZH_0371,电神,Lôi Thần,2,6,t.java:42
JAVA_ZH_0372,武器大师,Bậc Thầy Vũ Khí,4,12,t.java:43
JAVA_ZH_0373,武神,Võ Thần,2,6,t.java:44
JAVA_ZH_0374,勇者剑1级 &勇士常用剑。攻击+10,Kiếm Dũng Sĩ1级 &勇士常用剑。攻击+10,18,42,t.java:49
JAVA_ZH_0375,勇者剑2级 &勇士常用剑。攻击+20,Kiếm Dũng Sĩ2级 &勇士常用剑。攻击+20,18,42,t.java:49
JAVA_ZH_0376,勇者剑3级 &勇士常用剑。攻击+30,Kiếm Dũng Sĩ3级 &勇士常用剑。攻击+30,18,42,t.java:49
JAVA_ZH_0377,真银剑1级 &锋利的真银剑，能提高移动速度。攻击+20，速度+1,Kiếm Bạc Thật1级 &锋利的Kiếm Bạc Thật，能提高移动速度。攻击+20，速度+1,32,80,t.java:50
JAVA_ZH_0378,真银剑2级 &锋利的真银剑，能提高移动速度。攻击+40，速度+1,Kiếm Bạc Thật2级 &锋利的Kiếm Bạc Thật，能提高移动速度。攻击+40，速度+1,32,80,t.java:50
JAVA_ZH_0379,真银剑3级 &锋利的真银剑，能提高移动速度。攻击+60，速度+2,Kiếm Bạc Thật3级 &锋利的Kiếm Bạc Thật，能提高移动速度。攻击+60，速度+2,32,80,t.java:50
JAVA_ZH_0380,霸王剑1级 &巨大的宽刃剑，攻击有10%概率造成50%额外伤害。攻击+20,Kiếm Bá Vương1级 &巨大的宽刃剑，攻击有10%概率造成50%额外伤害。攻击+20,37,87,t.java:51
JAVA_ZH_0381,霸王剑2级 &巨大的宽刃剑，攻击有10%概率造成50%额外伤害。攻击+40，,Kiếm Bá Vương2级 &巨大的宽刃剑，攻击有10%概率造成50%额外伤害。攻击+40，,38,90,t.java:51
JAVA_ZH_0382,霸王剑3级 &巨大的宽刃剑，攻击有10%概率造成50%额外伤害。攻击+60,Kiếm Bá Vương3级 &巨大的宽刃剑，攻击有10%概率造成50%额外伤害。攻击+60,37,87,t.java:51
JAVA_ZH_0383,镀金剑1级 &神奇的镀金剑，攻击有10%概率造成100%额外伤害。攻击+30,Kiếm Mạ Vàng1级 &神奇的Kiếm Mạ Vàng，攻击有10%概率造成100%额外伤害。攻击+30,38,88,t.java:52
JAVA_ZH_0384,镀金剑2级 &神奇的镀金剑，攻击有20%概率造成100%额外伤害。攻击+60,Kiếm Mạ Vàng2级 &神奇的Kiếm Mạ Vàng，攻击有20%概率造成100%额外伤害。攻击+60,38,88,t.java:52
JAVA_ZH_0385,镀金剑3级 &神奇的镀金剑，攻击有30%概率造成100%额外伤害。攻击+90,Kiếm Mạ Vàng3级 &神奇的Kiếm Mạ Vàng，攻击有30%概率造成100%额外伤害。攻击+90,38,88,t.java:52
JAVA_ZH_0386,降龙剑1级 &具有降妖除魔的神剑，攻击有10%的概率造成5倍伤害。攻击+40,Kiếm Hàng Long1级 &具有降妖除魔的神剑，攻击有10%的概率造成5倍伤害。攻击+40,38,94,t.java:53
JAVA_ZH_0387,降龙剑2级 &具有降妖除魔的神剑，攻击有20%的概率造成5倍伤害。攻击+80,Kiếm Hàng Long2级 &具有降妖除魔的神剑，攻击有20%的概率造成5倍伤害。攻击+80,38,94,t.java:53
JAVA_ZH_0388,降龙剑3级 &具有降妖除魔的神剑，攻击有30%的概率造成5倍伤害。攻击+120,Kiếm Hàng Long3级 &具有降妖除魔的神剑，攻击有30%的概率造成5倍伤害。攻击+120,39,95,t.java:53
JAVA_ZH_0389,闪电神剑1级 &发掘于勇士岛的神剑，没人知道它的真正来历，使用一闪不消耗怒气，攻击有10%的概率造成10倍伤害。攻击+50,闪Lôi Thần剑1级 &发掘于勇士岛的神剑，没人知道它的真正来历，使用一闪不消耗怒气，攻击有10%的概率造成10倍伤害。攻击+50,61,161,t.java:55
JAVA_ZH_0390,暗黑圣剑2级 &发掘于勇士岛的神剑，没人知道它的真正来历，使用一闪不消耗怒气，攻击有20%的概率造成10倍伤害。攻击+100,,62,162,t.java:56
JAVA_ZH_0391,暗黑圣剑3级 &发掘于勇士岛的神剑，没人知道它的真正来历，使用一闪不消耗怒气，攻击有30%的概率造成10倍伤害。攻击+150,,62,162,t.java:57
JAVA_ZH_0392,氪金圣剑1级 &上古之神使用过的圣剑，使用一闪不消耗怒气，10%的概率造成10倍伤害，并无视怪物防御。攻击+60,Thánh Kiếm Khắc Kim1级 &上古之神使用过的圣剑，使用一闪不消耗怒气，10%的概率造成10倍伤害，并无视怪物防御。攻击+60,56,146,t.java:60
JAVA_ZH_0393,氪金圣剑2级 &上古之神使用过的圣剑，使用一闪不消耗怒气，20%的概率造成10倍伤害，并无视怪物防御。攻击+120,Thánh Kiếm Khắc Kim2级 &上古之神使用过的圣剑，使用一闪不消耗怒气，20%的概率造成10倍伤害，并无视怪物防御。攻击+120,57,147,t.java:61
JAVA_ZH_0394,氪金圣剑3级 &上古之神使用过的圣剑，使用一闪不消耗怒气，30%的概率造成10倍伤害，并无视怪物防御。攻击+180,Thánh Kiếm Khắc Kim3级 &上古之神使用过的圣剑，使用一闪不消耗怒气，30%的概率造成10倍伤害，并无视怪物防御。攻击+180,57,147,t.java:62
JAVA_ZH_0395,冒险服1级 &勇士初期穿戴的防具。防御+2,Áo Phiêu Lưu1级 &勇士初期穿戴的防具。防御+2,21,53,t.java:64
JAVA_ZH_0396,冒险服2级 &勇士初期穿戴的防具。防御+4,Áo Phiêu Lưu2级 &勇士初期穿戴的防具。防御+4,21,53,t.java:64
JAVA_ZH_0397,冒险服3级 &勇士初期穿戴的防具。防御+6,Áo Phiêu Lưu3级 &勇士初期穿戴的防具。防御+6,21,53,t.java:64
JAVA_ZH_0398,勇士军服1级 &曾经流行在勇士岛的勇士军服。防御+4,Quân Phục Dũng Sĩ1级 &曾经流行在勇士岛的Quân Phục Dũng Sĩ。防御+4,26,68,t.java:65
JAVA_ZH_0399,勇士军服2级 &曾经流行在勇士岛的勇士军服。防御+8,Quân Phục Dũng Sĩ2级 &曾经流行在勇士岛的Quân Phục Dũng Sĩ。防御+8,26,68,t.java:65
JAVA_ZH_0400,勇士军服3级 &曾经流行在勇士岛的勇士军服。防御+12,Quân Phục Dũng Sĩ3级 &曾经流行在勇士岛的Quân Phục Dũng Sĩ。防御+12,27,69,t.java:65
JAVA_ZH_0401,军官铠甲1级 &勇士岛精英勇士所穿被附魔过的铠甲。防御+6,Giáp Sĩ Quan1级 &勇士岛精英勇士所穿被附魔过的铠甲。防御+6,29,77,t.java:66
JAVA_ZH_0402,军官铠甲2级 &勇士岛精英勇士所穿被附魔过的铠甲。防御+12,Giáp Sĩ Quan2级 &勇士岛精英勇士所穿被附魔过的铠甲。防御+12,30,78,t.java:66
JAVA_ZH_0403,军官铠甲3级 &勇士岛精英勇士所穿被附魔过的铠甲。防御+18,Giáp Sĩ Quan3级 &勇士岛精英勇士所穿被附魔过的铠甲。防御+18,30,78,t.java:66
JAVA_ZH_0404,紫金铠甲1级 &古代的人类王者所穿的铠甲。防御+8,Giáp Tử Kim1级 &古代的人类王者所穿的铠甲。防御+8,25,65,t.java:67
JAVA_ZH_0405,紫金铠甲2级 &古代的人类王者所穿的铠甲。防御+16,Giáp Tử Kim2级 &古代的人类王者所穿的铠甲。防御+16,26,66,t.java:67
JAVA_ZH_0406,紫金铠甲3级 &古代的人类王者所穿的铠甲。防御+24,Giáp Tử Kim3级 &古代的人类王者所穿的铠甲。防御+24,26,66,t.java:67
JAVA_ZH_0407,板金铠甲1级 &被战神力量加持的铠甲。防御+10,Giáp Kim Loại1级 &被战神力量加持的铠甲。防御+10,24,60,t.java:68
JAVA_ZH_0408,板金铠甲2级 &被战神力量加持的铠甲。防御+20,Giáp Kim Loại2级 &被战神力量加持的铠甲。防御+20,24,60,t.java:68
JAVA_ZH_0409,板金铠甲3级 &被战神力量加持的铠甲。防御+30,Giáp Kim Loại3级 &被战神力量加持的铠甲。防御+30,24,60,t.java:68
JAVA_ZH_0410,钢玉铠甲1级 &神秘铠甲，拥有魔神的力量。防御+14,Giáp Cương Ngọc1级 &神秘铠甲，拥有魔神的力量。防御+14,26,66,t.java:69
JAVA_ZH_0411,钢玉铠甲2级 &神秘铠甲，拥有魔神的力量。防御+28,Giáp Cương Ngọc2级 &神秘铠甲，拥有魔神的力量。防御+28,26,66,t.java:69
JAVA_ZH_0412,钢玉铠甲3级 &神秘铠甲，拥有魔神的力量。防御+42,Giáp Cương Ngọc3级 &神秘铠甲，拥有魔神的力量。防御+42,26,66,t.java:69
JAVA_ZH_0413,生命指环1级 &勇士岛勇士所佩戴的戒指。最大生命值+50,Nhẫn Sinh Mệnh1级 &勇士岛勇士所佩戴的戒指。最大生命值+50,28,72,t.java:70
JAVA_ZH_0414,生命指环2级 &勇士岛勇士所佩戴的戒指。最大生命值+100,Nhẫn Sinh Mệnh2级 &勇士岛勇士所佩戴的戒指。最大生命值+100,29,73,t.java:70
JAVA_ZH_0415,生命指环3级 &勇士岛勇士所佩戴的戒指。最大生命值+150,Nhẫn Sinh Mệnh3级 &勇士岛勇士所佩戴的戒指。最大生命值+150,29,73,t.java:70
JAVA_ZH_0416,暴击戒指1级 &携带能增加暴击的指环。暴击率+3,Nhẫn Chí Mạng1级 &携带能增加暴击的指环。暴击率+3,24,62,t.java:71
JAVA_ZH_0417,暴击戒指2级 &携带能增加暴击的指环。暴击率+6,Nhẫn Chí Mạng2级 &携带能增加暴击的指环。暴击率+6,24,62,t.java:71
JAVA_ZH_0418,暴击戒指3级 &携带能增加暴击的指环。暴击率+10,Nhẫn Chí Mạng3级 &携带能增加暴击的指环。暴击率+10,25,63,t.java:71
JAVA_ZH_0419,龙牙镯1级 &龙牙所作的手镯。攻击+10,Vòng Tay Long Nha1级 &龙牙所作的手镯。攻击+10,20,48,t.java:72
JAVA_ZH_0420,龙牙镯2级 &龙牙所作的手镯。攻击+20,Vòng Tay Long Nha2级 &龙牙所作的手镯。攻击+20,20,48,t.java:72
JAVA_ZH_0421,龙牙镯3级 &龙牙所作的手镯。攻击+30,Vòng Tay Long Nha3级 &龙牙所作的手镯。攻击+30,20,48,t.java:72
JAVA_ZH_0422,紫光链1级 &散发紫色光芒的神奇项链。最大魔法值+50,Dây Chuyền Tử Quang1级 &散发紫色光芒的神奇项链。最大魔法值+50,27,69,t.java:73
JAVA_ZH_0423,紫光链2级 &散发紫色光芒的神奇项链。最大魔法值+100,Dây Chuyền Tử Quang2级 &散发紫色光芒的神奇项链。最大魔法值+100,28,70,t.java:73
JAVA_ZH_0424,紫光链3级 &散发紫色光芒的神奇项链。最大魔法值+150,Dây Chuyền Tử Quang3级 &散发紫色光芒的神奇项链。最大魔法值+150,28,70,t.java:73
JAVA_ZH_0425,护心锁1级 &黄金打造的护心锁。防御+4,Khóa Hộ Tâm1级 &黄金打造的Khóa Hộ Tâm。防御+4,20,50,t.java:74
JAVA_ZH_0426,护心锁2级 &黄金打造的护心锁。防御+8,Khóa Hộ Tâm2级 &黄金打造的Khóa Hộ Tâm。防御+8,20,50,t.java:74
JAVA_ZH_0427,护心锁3级 &黄金打造的护心锁。防御+12,Khóa Hộ Tâm3级 &黄金打造的Khóa Hộ Tâm。防御+12,21,51,t.java:74
JAVA_ZH_0428,彩虹之心 &神秘道具，佩戴时使用怒气消耗减半。,Trái Tim Cầu Vồng &神秘道具，佩戴时使用怒气消耗减半。,23,65,t.java:75
JAVA_ZH_0429,生命最大值+10，魔法+5,,13,29,t.java:76
JAVA_ZH_0430,生命最大值+50，魔法+25,,14,30,t.java:77
JAVA_ZH_0431,生命最大值+100，魔法+50,,15,31,t.java:78
JAVA_ZH_0432,生命最大值+150，魔法+75,,15,31,t.java:79
JAVA_ZH_0433,生命最大值+200，魔法+100,,16,32,t.java:80; t.java:89
JAVA_ZH_0434,攻击+10,,5,9,t.java:81
JAVA_ZH_0435,攻击+10，移动速度+2,,12,26,t.java:82
JAVA_ZH_0436,攻击+20，暴击+10,,11,21,t.java:83
JAVA_ZH_0437,防御+20,,5,9,t.java:84
JAVA_ZH_0438,生命最大值+300，魔法+200,,16,32,t.java:85
JAVA_ZH_0439,防御+10，移动速度+2,,12,26,t.java:86
JAVA_ZH_0440,攻击+10，暴击+5,,10,20,t.java:87
JAVA_ZH_0441,生命+100，魔法+50,,12,22,t.java:88
JAVA_ZH_0442,攻击+10，防御+10,,11,21,t.java:90
JAVA_ZH_0443,使用闪电神剑爆破的概率+5%,使用闪Lôi Thần剑爆破的概率+5%,14,36,t.java:91
JAVA_ZH_0444,暴击+10,,5,9,t.java:92
JAVA_ZH_0445,暴击+10，移动+2,,10,20,t.java:93
JAVA_ZH_0446,勇者剑1级 勇士常用剑。攻击+10,Kiếm Dũng Sĩ1级 勇士常用剑。攻击+10,17,41,t.java:96
JAVA_ZH_0447,勇者剑  1级→2级  攻击10→20 & 需要材料 蟹钳10 星光10 海螺壳5 金钱500,Kiếm Dũng Sĩ  1级→2级  攻击10→20 & 需要材料 蟹钳10 星光10 海螺壳5 金钱500,47,91,t.java:96
JAVA_ZH_0448,勇者剑  2级→3级  攻击20→30 & 需要材料 蟹钳20 星光20 海螺壳10 金钱500,Kiếm Dũng Sĩ  2级→3级  攻击20→30 & 需要材料 蟹钳20 星光20 海螺壳10 金钱500,48,92,t.java:96
JAVA_ZH_0449,真银剑1级  锋利的真银剑，能提高移动速度。攻击+20，速度+1,Kiếm Bạc Thật1级  锋利的Kiếm Bạc Thật，能提高移动速度。攻击+20，速度+1,32,80,t.java:97
JAVA_ZH_0450,真银剑  1级→2级  攻击20→40 移动1→1 & 需要材料  星光20 海螺壳10 冰晶3 金钱3000,Kiếm Bạc Thật  1级→2级  攻击20→40 移动1→1 & 需要材料  星光20 海螺壳10 冰晶3 金钱3000,55,105,t.java:97
JAVA_ZH_0451,真银剑  2级→3级  攻击40→60 移动1→2 & 需要材料  星光40 海螺壳20 冰晶5 金钱3000,Kiếm Bạc Thật  2级→3级  攻击40→60 移动1→2 & 需要材料  星光40 海螺壳20 冰晶5 金钱3000,55,105,t.java:97
JAVA_ZH_0452,霸王剑1级  巨大的宽刃剑，攻击有10%概率造成50%额外的伤害。攻击+30,Kiếm Bá Vương1级  巨大的宽刃剑，攻击有10%概率造成50%额外的伤害。攻击+30,38,90,t.java:99
JAVA_ZH_0453,霸王剑  1级→2级  攻击20→40 爆破率10%→20% & 需要材料  海螺壳20 冰晶3 魔刃1 金钱3000,Kiếm Bá Vương  1级→2级  攻击20→40 爆破率10%→20% & 需要材料  海螺壳20 冰晶3 魔刃1 金钱3000,59,111,t.java:100
JAVA_ZH_0454,霸王剑  2级→3级  攻击40→60 爆破率20%→30% & 需要材料  海螺壳40 冰晶5 魔刃3 金钱3000,Kiếm Bá Vương  2级→3级  攻击40→60 爆破率20%→30% & 需要材料  海螺壳40 冰晶5 魔刃3 金钱3000,59,111,t.java:101
JAVA_ZH_0455,镀金剑1级  神奇的镀金剑，攻击有10%的概率造成100%的额外伤害。攻击+30,Kiếm Mạ Vàng1级  神奇的Kiếm Mạ Vàng，攻击有10%的概率造成100%的额外伤害。攻击+30,40,94,t.java:104
JAVA_ZH_0456,镀金剑  1级→2级  攻击20→40 冰冻率10%→20% & 需要材料  魂石20 魔刃10 蛇胆3 金钱3000,Kiếm Mạ Vàng  1级→2级  攻击20→40 冰冻率10%→20% & 需要材料  魂石20 魔刃10 蛇胆3 金钱3000,59,109,t.java:105
JAVA_ZH_0457,镀金剑  2级→3级  攻击40→60 冰冻率20%→30% & 需要材料  魂石40 魔刃20 蛇胆5 金钱3000,Kiếm Mạ Vàng  2级→3级  攻击40→60 冰冻率20%→30% & 需要材料  魂石40 魔刃20 蛇胆5 金钱3000,59,109,t.java:106
JAVA_ZH_0458,降龙剑1级  具有降妖除魔的神剑，攻击有10%的概率造成5倍伤害。攻击+40,Kiếm Hàng Long1级  具有降妖除魔的神剑，攻击有10%的概率造成5倍伤害。攻击+40,38,94,t.java:109
JAVA_ZH_0459,降龙剑  1级→2级  攻击40→80 概率10%→20% & 需要材料  冰晶5 蛇胆5 魔心20 金钱3000,Kiếm Hàng Long  1级→2级  攻击40→80 概率10%→20% & 需要材料  冰晶5 蛇胆5 魔心20 金钱3000,57,105,t.java:110
JAVA_ZH_0460,降龙剑  2级→3级  攻击80→120 概率20%→30% & 需要材料  冰晶10 蛇胆10 魔心40 金钱3000,Kiếm Hàng Long  2级→3级  攻击80→120 概率20%→30% & 需要材料  冰晶10 蛇胆10 魔心40 金钱3000,60,108,t.java:111
JAVA_ZH_0461,闪电圣剑1级 发掘于勇士岛的神剑，没人知道它的真正来历，使用一闪不消耗怒气，攻击有10%的概率造成10倍伤害。攻击+50,,60,160,t.java:114
JAVA_ZH_0462,闪电圣剑  1级→2级  攻击50→100 致命一击率10%→20% & 需要材料  金钱30000,,50,94,t.java:115
JAVA_ZH_0463,闪电圣剑  2级→3级  攻击100→150 致命一击率20%→30% & 需要材料  金钱50000,,51,95,t.java:116
JAVA_ZH_0464,氪金圣剑1级 上古之神使用过的圣剑，使用一闪不消耗怒气，10%的概率造成10倍伤害，并无视怪物防御。攻击+60,Thánh Kiếm Khắc Kim1级 上古之神使用过的圣剑，使用一闪不消耗怒气，10%的概率造成10倍伤害，并无视怪物防御。攻击+60,55,145,t.java:119
JAVA_ZH_0465,氪金圣剑  1级→2级  攻击60→120 致命一击率10%→20% & 需要材料 冰晶10 刀刃10 魔刃50 魔心50 金钱30000,Thánh Kiếm Khắc Kim  1级→2级  攻击60→120 致命一击率10%→20% & 需要材料 冰晶10 刀刃10 魔刃50 魔心50 金钱30000,69,129,t.java:120
JAVA_ZH_0466,氪金圣剑  2级→3级  攻击120→180 致命一击率20%→30% & 需要材料 冰晶20 刀刃20 魔刃100 魔心100 金钱30000,Thánh Kiếm Khắc Kim  2级→3级  攻击120→180 致命一击率20%→30% & 需要材料 冰晶20 刀刃20 魔刃100 魔心100 金钱30000,72,132,t.java:121
JAVA_ZH_0467,冒险服1级 勇士初期穿戴的防具。防御+2,Áo Phiêu Lưu1级 勇士初期穿戴的防具。防御+2,20,52,t.java:123
JAVA_ZH_0468,冒险服  1级→2级  防御2→4  & 需要材料 星光5 海螺壳5  金钱500,Áo Phiêu Lưu  1级→2级  防御2→4  & 需要材料 星光5 海螺壳5  金钱500,41,81,t.java:123
JAVA_ZH_0469,冒险服  2级→3级  防御4→6  & 需要材料 星光10 海螺壳10  金钱500,Áo Phiêu Lưu  2级→3级  防御4→6  & 需要材料 星光10 海螺壳10  金钱500,43,83,t.java:123
JAVA_ZH_0470,勇士军服1级 曾经流行在勇士岛的勇士军服。防御+4,Quân Phục Dũng Sĩ1级 曾经流行在勇士岛的Quân Phục Dũng Sĩ。防御+4,25,67,t.java:124
JAVA_ZH_0471,勇士军服  1级→2级  防御4→8  & 需要材料 海螺壳10 蛙心10 魔刃1 金钱1000,Quân Phục Dũng Sĩ  1级→2级  防御4→8  & 需要材料 海螺壳10 蛙心10 魔刃1 金钱1000,48,94,t.java:124
JAVA_ZH_0472,勇士军服  2级→3级  防御8→12  & 需要材料 海螺壳20 蛙心20 魔刃3 金钱1000,Quân Phục Dũng Sĩ  2级→3级  防御8→12  & 需要材料 海螺壳20 蛙心20 魔刃3 金钱1000,49,95,t.java:124
JAVA_ZH_0473,军官铠甲1级 勇士岛精英勇士所穿被附魔过的铠甲。防御+6,Giáp Sĩ Quan1级 勇士岛精英勇士所穿被附魔过的铠甲。防御+6,28,76,t.java:125
JAVA_ZH_0474,军官铠甲  1级→2级  防御6→12  & 需要材料 蛙心10 魂石10 刀刃2 金钱2000,Giáp Sĩ Quan  1级→2级  防御6→12  & 需要材料 蛙心10 魂石10 刀刃2 金钱2000,48,92,t.java:125
JAVA_ZH_0475,军官铠甲  2级→3级  防御12→18  & 需要材料 蛙心20 魂石20 刀刃3 金钱2000,Giáp Sĩ Quan  2级→3级  防御12→18  & 需要材料 蛙心20 魂石20 刀刃3 金钱2000,49,93,t.java:125
JAVA_ZH_0476,紫金铠甲1级 古代的人类王者所穿的铠甲。防御+8,Giáp Tử Kim1级 古代的人类王者所穿的铠甲。防御+8,24,64,t.java:126
JAVA_ZH_0477,紫金铠甲  1级→2级  防御8→16  & 需要材料 魔刃10 海螺壳20 刀刃1 金钱2000,Giáp Tử Kim  1级→2级  防御8→16  & 需要材料 魔刃10 海螺壳20 刀刃1 金钱2000,49,95,t.java:126
JAVA_ZH_0478,紫金铠甲  2级→3级  防御16→24  & 需要材料 魔刃20 海螺壳40 刀刃3 金钱2000,Giáp Tử Kim  2级→3级  防御16→24  & 需要材料 魔刃20 海螺壳40 刀刃3 金钱2000,50,96,t.java:126
JAVA_ZH_0479,板金铠甲1级 被战神力量加持的铠甲。防御+10,Giáp Kim Loại1级 被战神力量加持的铠甲。防御+10,23,59,t.java:127
JAVA_ZH_0480,板金铠甲  1级→2级  防御10→20  & 需要材料 魔刃20 魂石10 魔心10 金钱3000,Giáp Kim Loại  1级→2级  防御10→20  & 需要材料 魔刃20 魂石10 魔心10 金钱3000,50,94,t.java:127
